3/1/2005,10503.76,1180.59
4/1/2005,10192.51,1156.85
5/2/2005,10467.48,1191.50
6/1/2005,10274.97,1191.33
7/1/2005,10640.91,1234.18
8/1/2005,10481.60,1220.33
9/1/2005,10568.70,1228.81
10/3/2005,10440.07,1207.01
11/1/2005,10805.87,1249.48
12/1/2005,10717.50,1248.29
1/3/2006,10864.86,1280.08
2/1/2006,10993.41,1280.66
3/1/2006,11109.32,1294.87
4/3/2006,11367.14,1310.61
5/1/2006,11168.31,1270.09
6/1/2006,11150.22,1270.20
7/3/2006,11185.68,1276.66
8/1/2006,11381.15,1303.82
9/1/2006,11679.07,1335.85
10/2/2006,12080.73,1377.94
11/1/2006,12221.93,1400.63
12/1/2006,12463.15,1418.30
1/3/2007,12621.69,1438.24
2/1/2007,12268.63,1406.82
3/1/2007,12354.35,1420.86
4/2/2007,13062.91,1482.37
5/1/2007,13627.64,1530.62
6/1/2007,13408.62,1503.35
7/2/2007,13211.99,1455.27
8/1/2007,13357.74,1473.99
9/4/2007,13895.63,1526.75
10/1/2007,13930.01,1549.38
11/1/2007,13371.72,1481.14
12/3/2007,13264.82,1468.36
1/2/2008,12650.36,1378.55
2/1/2008,12266.39,1330.63
3/3/2008,12262.89,1322.70
4/1/2008,12820.13,1385.59
5/1/2008,12638.32,1400.38
6/2/2008,11350.01,1280.00
7/1/2008,11378.02,1267.38
8/1/2008,11543.96,1282.83
9/2/2008,10850.66,1166.36
10/1/2008,9325.01,968.75
11/3/2008,8829.04,896.24
12/1/2008,8776.39,903.25
1/2/2009,8000.86,825.88
2/2/2009,7062.93,735.09
3/2/2009,7608.92,797.87
4/1/2009,8168.12,872.81
5/1/2009,8500.33,919.14
6/1/2009,8447.00,919.32
7/1/2009,9171.61,987.48
8/3/2009,9496.28,1020.62
9/1/2009,9712.28,1057.08
10/1/2009,9712.73,1036.19
11/2/2009,10344.84,1095.63
12/1/2009,10428.05,1115.10
1/4/2010,10067.33,1073.87
2/1/2010,10325.26,1104.49
3/1/2010,10856.63,1169.43
4/1/2010,11008.61,1186.69
5/3/2010,10136.63,1089.41
6/1/2010,9774.02,1030.71
7/1/2010,10465.94,1101.60
8/2/2010,10014.72,1049.33
9/1/2010,10788.05,1141.20
10/1/2010,11118.49,1183.26
11/1/2010,11006.02,1180.55
12/1/2010,11577.51,1257.64
1/3/2011,11891.93,1286.12
2/1/2011,12226.34,1327.22
3/1/2011,12319.73,1325.83
4/1/2011,12810.54,1363.61
5/2/2011,12569.79,1345.20
6/1/2011,12414.34,1320.64
7/1/2011,12143.24,1292.28
8/1/2011,11613.53,1218.89
9/1/2011,10913.38,1131.42
10/3/2011,11955.01,1253.30
11/1/2011,12045.68,1246.96
12/1/2011,12217.56,1257.60
1/3/2012,12632.91,1312.41
